,Date,Name,Publisher,Est. Counts
0,12/18/19,Doomsday Clock,DC,"117,926"
1,12/04/19,X-Men,Marvel,"105,708"
2,12/18/19,Batman Last Knight On Earth,DC,"90,058"
3,12/11/19,Dark Knight Returns The Golden Child,DC,"88,794"
4,12/25/19,Venom,Marvel,"74,071"
5,12/11/19,Harley Quinn Villain of the Year,DC,"73,146"
6,12/11/19,Symbiote Spider-Man Alien Reality,Marvel,"71,341"
7,12/25/19,Incoming,Marvel,"69,025"
8,12/04/19,Amazing Spider-Man,Marvel,"67,111"
9,12/11/19,Superman,DC,"66,684"
10,12/18/19,Amazing Spider-Man,Marvel,"63,742"
11,12/18/19,Batman,DC,"60,318"
12,12/18/19,Harleen,DC,"59,501"
13,12/11/19,Batman Curse of the White Knight,DC,"58,839"
14,12/04/19,Batman,DC,"58,597"
15,12/18/19,Spider-Man,Marvel,"54,722"
16,12/11/19,TMNT,IDW,"53,954"
17,12/25/19,Dr Strange,Marvel,"53,664"
18,12/18/19,Revenge of Cosmic Ghost Rider,Marvel,"50,639"
19,12/11/19,New Mutants,Marvel,"49,991"
20,12/11/19,Immortal Hulk,Marvel,"49,851"
21,12/04/19,Marauders,Marvel,"49,309"
22,12/04/19,Conan Serpent War,Marvel,"47,804"
23,12/04/19,Justice League,DC,"47,669"
24,12/18/19,New Mutants,Marvel,"47,489"
25,12/04/19,Excalibur,Marvel,"47,253"
26,12/11/19,X-Force,Marvel,"47,178"
27,12/18/19,Justice League,DC,"46,800"
28,12/04/19,Power Rangers Teenage Mutant Ninja Turtles,Boom,"46,511"
29,12/18/19,Joker Killer Smile,DC,"46,361"
30,12/18/19,Suicide Squad,DC,"46,258"
31,12/18/19,Excalibur,Marvel,"46,022"
32,12/18/19,Year of the Villain Hell Arisen,DC,"45,975"
33,12/18/19,Marauders,Marvel,"45,641"
34,12/18/19,X-Force,Marvel,"44,872"
35,12/04/19,Venom 2099,Marvel,"41,503"
36,12/25/19,Spider-Ham,Marvel,"41,342"
37,12/18/19,King Thor,Marvel,"39,566"
38,12/11/19,Spider-Man 2099,Marvel,"39,272"
39,12/18/19,Avengers,Marvel,"39,234"
40,12/11/19,Amazing Mary Jane,Marvel,"38,956"
41,12/11/19,Fallen Angels,Marvel,"38,883"
42,12/18/19,Guardians of the Galaxy,Marvel,"38,253"
43,12/18/19,Fallen Angels,Marvel,"37,350"
44,12/04/19,Spawn,Image,"36,978"
45,12/11/19,Captain Marvel,Marvel,"36,600"
46,12/11/19,Fantastic Four,Marvel,"36,564"
47,12/18/19,Batman Superman,DC,"36,269"
48,12/11/19,Detective Comics,DC,"35,589"
49,12/18/19,Wonder Woman Dead Earth,DC,"35,542"
