,Date,Name,Publisher,Est. Counts
0,11/06/19,New Mutants,Marvel,"138,484"
1,11/13/19,X-Men,Marvel,"117,538"
2,11/20/19,Absolute Carnage,Marvel,"106,862"
3,11/06/19,X-Force,Marvel,"105,138"
4,11/06/19,Batman,DC,"89,532"
5,11/13/19,Fallen Angels,Marvel,"86,672"
6,11/20/19,Deadpool,Marvel,"83,603"
7,11/20/19,Batman,DC,"81,927"
8,11/06/19,Amazing Spider-Man,Marvel,"77,581"
9,11/06/19,Legion of Super Heroes,DC,"75,611"
10,11/06/19,Undiscovered Country,Image,"73,063"
11,11/20/19,Amazing Spider-Man,Marvel,"67,914"
12,11/27/19,Venom,Marvel,"67,702"
13,11/27/19,Scream Curse of Carnage,Marvel,"64,691"
14,11/20/19,Captain Marvel,Marvel,"62,227"
15,11/27/19,New Mutants,Marvel,"60,518"
16,11/20/19,Batman Superman,DC,"59,646"
17,11/20/19,Excalibur,Marvel,"55,828"
18,11/06/19,Justice League,DC,"55,411"
19,11/13/19,Detective Comics,DC,"55,337"
20,11/27/19,X-Force,Marvel,"53,667"
21,11/20/19,Batman White Knight Presents Von Freeze,DC,"51,975"
22,11/06/19,Spawn,Image,"51,968"
23,11/20/19,Marauders,Marvel,"51,241"
24,11/27/19,Avengers,Marvel,"51,011"
25,11/20/19,Immortal Hulk,Marvel,"50,452"
26,11/13/19,Morbius,Marvel,"50,434"
27,11/20/19,Justice League,DC,"48,522"
28,11/27/19,Detective Comics,DC,"47,827"
29,11/27/19,Fallen Angels,Marvel,"46,859"
30,11/27/19,Action Comics,DC,"46,740"
31,11/13/19,Superman,DC,"46,132"
32,11/13/19,Harley Quinn & Poison Ivy,DC,"45,826"
33,11/06/19,Immortal Hulk,Marvel,"45,522"
34,11/20/19,Star Wars,Marvel,"42,696"
35,11/06/19,Green Lantern Blackstars,DC,"42,145"
36,11/13/19,Event Leviathan,DC,"42,092"
37,11/20/19,Avengers,Marvel,"42,077"
38,11/20/19,2099 Alpha,Marvel,"41,118"
39,11/20/19,Annihilation Scourge Alpha,Marvel,"40,002"
40,11/13/19,Flash,DC,"39,710"
41,11/13/19,Batmans Grave,DC,"39,621"
42,11/13/19,Far Sector,DC,"39,290"
43,11/06/19,Doctor Doom,Marvel,"38,784"
44,11/13/19,Star Wars,Marvel,"38,634"
45,11/06/19,Spider-Man & Venom Double Trouble,Marvel,"37,435"
46,11/20/19,King Thor,Marvel,"36,834"
47,11/06/19,Fantastic Four,Marvel,"36,757"
48,11/13/19,Tales From The Dark Multiverse Blackest Night,DC,"36,456"
49,11/27/19,Tales From The Dark Multiverse Infinite Crisis,DC,"35,575"
