,Date,Name,Publisher,Est. Counts
0,02/19/20,Wolverine,Marvel,"190,568"
1,02/12/20,X-Men,Marvel,"92,287"
2,02/26/20,X-Men,Marvel,"76,691"
3,02/05/20,Batman,DC,"74,423"
4,02/19/20,Batman,DC,"73,390"
5,02/19/20,DCeased Unkillables,DC,"72,170"
6,02/12/20,Gwen Stacy,Marvel,"68,348"
7,02/26/20,Giant Size X-Men Jean Grey & Emma Frost,Marvel,"63,077"
8,02/12/20,Amazing Spider-Man,Marvel,"60,302"
9,02/05/20,Star Wars Darth Vader,Marvel,"59,045"
10,02/05/20,X-Men Fantastic Four,Marvel,"56,443"
11,02/26/20,Batman Curse of the White Knight,DC,"54,255"
12,02/26/20,Amazing Spider-Man,Marvel,"54,210"
13,02/19/20,Guardians of the Galaxy,Marvel,"50,934"
14,02/12/20,Immortal Hulk,Marvel,"49,545"
15,02/12/20,Venom,Marvel,"48,894"
16,02/26/20,X-Men Fantastic Four,Marvel,"48,811"
17,02/12/20,Thor,Marvel,"48,707"
18,02/05/20,Justice League,DC,"44,170"
19,02/26/20,Detective Comics,DC,"43,336"
20,02/26/20,Avengers,Marvel,"42,955"
21,02/12/20,X-Force,Marvel,"42,808"
22,02/26/20,Star Wars,Marvel,"42,719"
23,02/05/20,Immortal Hulk Great Power,Marvel,"42,708"
24,02/19/20,Justice League,DC,"42,682"
25,02/19/20,Joker Killer Smile,DC,"42,249"
26,02/26/20,Falcon & Winter Soldier,Marvel,"42,038"
27,02/12/20,Green Lantern Season 2,DC,"41,242"
28,02/26/20,Batman Superman,DC,"41,179"
29,02/26/20,X-Force,Marvel,"41,153"
30,02/19/20,New Mutants,Marvel,"40,427"
31,02/12/20,Excalibur,Marvel,"40,131"
32,02/12/20,Symbiote Spider-Man Alien Reality,Marvel,"39,727"
33,02/12/20,Superman,DC,"39,255"
34,02/26/20,New Mutants,Marvel,"39,251"
35,02/05/20,Marauders,Marvel,"38,799"
36,02/05/20,Joker Harley Criminal Sanity,DC,"38,531"
37,02/12/20,Batman Pennyworth RIP,DC,"38,004"
38,02/19/20,Marauders,Marvel,"37,413"
39,02/26/20,Year of the Villain Hell Arisen,DC,"36,250"
40,02/12/20,Harley Quinn & Birds of Prey,DC,"35,549"
41,02/19/20,Spawn,Image,"35,474"
42,02/26/20,Star,Marvel,"34,998"
43,02/12/20,Harley Quinn & Poison Ivy,DC,"34,454"
44,02/26/20,Action Comics,DC,"34,162"
45,02/19/20,Conan The Barbarian,Marvel,"33,576"
46,02/12/20,Star Wars Rise Kylo Ren,Marvel,"33,313"
47,02/05/20,Conan Battle For Serpent Crown,Marvel,"32,223"
48,02/19/20,Fantastic Four,Marvel,"31,472"
49,02/12/20,Marvels X,Marvel,"31,319"
