,Date,Name,Publisher,Est. Counts
0,01/22/20,Wonder Woman,DC,"167,377"
1,01/01/20,Thor,Marvel,"158,872"
2,01/01/20,Star Wars,Marvel,"97,053"
3,01/01/20,X-Men,Marvel,"93,342"
4,01/29/20,X-Men,Marvel,"80,443"
5,01/08/20,Batman,DC,"80,053"
6,01/22/20,Batman,DC,"74,126"
7,01/22/20,Guardians of the Galaxy,Marvel,"66,881"
8,01/22/20,Amazing Spider-Man,Marvel,"57,726"
9,01/08/20,Amazing Spider-Man,Marvel,"57,520"
10,01/08/20,Star,Marvel,"56,755"
11,01/22/20,Batman: Curse of the White Knight,DC,"55,270"
12,01/15/20,Iron Man 2020,Marvel,"54,624"
13,01/08/20,X-Force,Marvel,"53,157"
14,01/29/20,Thor,Marvel,"51,244"
15,01/08/20,Marvels X,Marvel,"50,710"
16,01/08/20,New Mutants,Marvel,"50,013"
17,01/08/20,Excalibur,Marvel,"48,887"
18,01/08/20,Venom,Marvel,"47,593"
19,01/29/20,X-Force,Marvel,"47,131"
20,01/29/20,New Mutants,Marvel,"46,521"
21,01/08/20,Immortal Hulk,Marvel,"46,484"
22,01/01/20,Joker/Harley: Criminal Sanity,DC,"46,426"
23,01/22/20,Batman Superman,DC,"46,422"
24,01/01/20,Detective Comics,DC,"45,660"
25,01/22/20,Excalibur,Marvel,"45,374"
26,01/22/20,Detective Comics,DC,"45,263"
27,01/29/20,Immortal Hulk,Marvel,"45,233"
28,01/01/20,Marauders,Marvel,"44,802"
29,01/29/20,Star Wars,Marvel,"44,619"
30,01/29/20,Justice League,DC,"44,559"
31,01/22/20,Marauders,Marvel,"44,212"
32,01/15/20,Venom: The End,Marvel,"44,088"
33,01/22/20,Superman,DC,"43,364"
34,01/29/20,Ravencroft,Marvel,"41,764"
35,01/29/20,Fallen Angels,Marvel,"39,912"
36,01/08/20,Fallen Angels,Marvel,"39,719"
37,01/29/20,Avengers,Marvel,"38,485"
38,01/01/20,Action Comics,DC,"38,402"
39,01/15/20,Avengers,Marvel,"38,316"
40,01/29/20,Action Comics,DC,"35,842"
41,01/29/20,Detective Comics Annual,DC,"35,508"
42,01/08/20,Harley Quinn & Poison Ivy,DC,"35,018"
43,01/15/20,Legion of Super Heroes,DC,"34,732"
44,01/15/20,Spawn,Image,"34,442"
45,01/29/20,Avengers of the Wastelands,Marvel,"32,638"
46,01/22/20,Year of the Villain: Hell Arisen,DC,"32,266"
47,01/22/20,Fantastic Four,Marvel,"32,134"
48,01/08/20,Deadpool,Marvel,"31,498"
49,01/01/20,Flash,DC,"31,237"
