,Date,Name,Publisher,Est. Counts
0,03/18/20,Spider-Woman,Marvel,"142,089"
1,03/18/20,Batman,DC,"88,735"
2,03/04/20,Batman,DC,"87,385"
3,03/04/20,Flash,DC,"82,432"
4,03/11/20,Thor,Marvel,"75,988"
5,03/11/20,X-Men,Marvel,"75,080"
6,03/25/20,Wolverine,Marvel,"74,228"
7,03/04/20,Strange Academy,Marvel,"71,039"
8,03/25/20,X-Men,Marvel,"70,208"
9,03/25/20,Immortal Hulk,Marvel,"68,765"
10,03/11/20,Star Wars Bounty Hunters,Marvel,"61,941"
11,03/18/20,Robin 80th Anniversary 100 Page Super Spect,DC,"60,011"
12,03/04/20,Strange Adventures,DC,"58,682"
13,03/18/20,DCeased Unkillables,DC,"56,650"
14,03/25/20,Hellions,Marvel,"55,772"
15,03/11/20,Amazing Spider-Man,Marvel,"53,428"
16,03/25/20,Batman Curse of the White Knight,DC,"52,985"
17,03/11/20,Cable,Marvel,"52,143"
18,03/25/20,Amazing Spider-Man,Marvel,"52,142"
19,03/04/20,Marvel,Marvel,"50,245"
20,03/11/20,Decorum,Image,"47,503"
21,03/11/20,Star Wars Darth Vader,Marvel,"47,431"
22,03/25/20,Giant Size X-Men Nightcrawler,Marvel,"46,861"
23,03/25/20,X-Men Fantastic Four,Marvel,"46,523"
24,03/04/20,Mirka Andolfo Mercy,Image,"46,483"
25,03/04/20,Spider-Man Noir,Marvel,"44,090"
26,03/11/20,Venom,Marvel,"43,899"
27,03/18/20,Captain Marvel,Marvel,"43,734"
28,03/18/20,Star Wars,Marvel,"43,553"
29,03/11/20,Immortal Hulk,Marvel,"43,181"
30,03/18/20,X-Force,Marvel,"43,075"
31,03/25/20,Detective Comics,DC,"42,798"
32,03/25/20,Road to Empyre Kree Skrull War,Marvel,"42,346"
33,03/04/20,Justice League,DC,"41,683"
34,03/11/20,New Mutants,Marvel,"40,974"
35,03/18/20,Justice League,DC,"40,886"
36,03/04/20,Marauders,Marvel,"39,059"
37,03/25/20,Star Wars Bounty Hunters,Marvel,"38,918"
38,03/25/20,Batman Superman,DC,"38,236"
39,03/11/20,Superman,DC,"37,271"
40,03/11/20,Avengers,Marvel,"37,134"
41,03/18/20,Excalibur,Marvel,"36,259"
42,03/11/20,Star Wars Rise Kylo Ren,Marvel,"36,160"
43,03/04/20,Excalibur,Marvel,"35,429"
44,03/18/20,Spawn,Image,"35,026"
45,03/25/20,Action Comics,DC,"33,447"
46,03/11/20,Green Lantern Season 2,DC,"32,816"
47,03/18/20,Year of the Villain Hell Arisen,DC,"32,624"
48,03/04/20,Doctor Doom,Marvel,"32,089"
49,03/18/20,Fantastic Four,Marvel,"31,031"
