,Unnamed: 0,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
0,0,1678,Spider-Man (Peter Parker),\/Spider-Man_(Peter_Parker),Secret Identity,0,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,4043.0,Aug-62,1962.0
1,1,7139,Captain America (Steven Rogers),\/Captain_America_(Steven_Rogers),Public Identity,0,Blue Eyes,White Hair,Male Characters,,Living Characters,3360.0,Mar-41,1941.0
2,2,64786,"Wolverine (James \""Logan\"" Howlett)",\/Wolverine_(James_%22Logan%22_Howlett),Public Identity,0,Blue Eyes,Black Hair,Male Characters,,Living Characters,3061.0,Oct-74,1974.0
3,3,1868,"Iron Man (Anthony \""Tony\"" Stark)",\/Iron_Man_(Anthony_%22Tony%22_Stark),Public Identity,0,Blue Eyes,Black Hair,Male Characters,,Living Characters,2961.0,Mar-63,1963.0
4,4,2460,Thor (Thor Odinson),\/Thor_(Thor_Odinson),No Dual Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2258.0,Nov-50,1950.0
5,5,2458,Benjamin Grimm (Earth-616),\/Benjamin_Grimm_(Earth-616),Public Identity,0,Blue Eyes,No Hair,Male Characters,,Living Characters,2255.0,Nov-61,1961.0
6,6,2166,Reed Richards (Earth-616),\/Reed_Richards_(Earth-616),Public Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2072.0,Nov-61,1961.0
7,7,1833,Hulk (Robert Bruce Banner),\/Hulk_(Robert_Bruce_Banner),Public Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2017.0,May-62,1962.0
8,8,29481,Scott Summers (Earth-616),\/Scott_Summers_(Earth-616),Public Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1955.0,Sep-63,1963.0
9,9,1837,Jonathan Storm (Earth-616),\/Jonathan_Storm_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1934.0,Nov-61,1961.0
10,10,15725,Henry McCoy (Earth-616),\/Henry_McCoy_(Earth-616),Public Identity,0,Blue Eyes,Blue Hair,Male Characters,,Living Characters,1825.0,Sep-63,1963.0
11,11,1863,Susan Storm (Earth-616),\/Susan_Storm_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1713.0,Nov-61,1961.0
13,13,2614,Ororo Munroe (Earth-616),\/Ororo_Munroe_(Earth-616),Public Identity,0,Blue Eyes,White Hair,Female Characters,,Living Characters,1512.0,May-75,1975.0
14,14,1803,Clinton Barton (Earth-616),\/Clinton_Barton_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1394.0,Sep-64,1964.0
15,15,1396,Matthew Murdock (Earth-616),\/Matthew_Murdock_(Earth-616),Public Identity,0,Blue Eyes,Red Hair,Male Characters,,Living Characters,1338.0,Apr-64,1964.0
16,16,55534,Stephen Strange (Earth-616),\/Stephen_Strange_(Earth-616),Public Identity,0,Grey Eyes,Black Hair,Male Characters,,Living Characters,1307.0,Jul-63,1963.0
17,17,1978,Mary Jane Watson (Earth-616),\/Mary_Jane_Watson_(Earth-616),No Dual Identity,0,Green Eyes,Red Hair,Female Characters,,Living Characters,1304.0,Jun-65,1965.0
18,18,1872,John Jonah Jameson (Earth-616),\/John_Jonah_Jameson_(Earth-616),No Dual Identity,0,Blue Eyes,Black Hair,Male Characters,,Living Characters,1266.0,Mar-63,1963.0
19,19,35350,Robert Drake (Earth-616),\/Robert_Drake_(Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1265.0,Sep-63,1963.0
20,20,1557,Henry Pym (Earth-616),\/Henry_Pym_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1237.0,Jan-62,1962.0
21,21,65255,Charles Xavier (Earth-616),\/Charles_Xavier_(Earth-616),Public Identity,0,Blue Eyes,Bald,Male Characters,,Deceased Characters,1233.0,Sep-63,1963.0
22,22,1073,Warren Worthington III (Earth-616),\/Warren_Worthington_III_(Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1230.0,Sep-63,1963.0
