country,value
Philippines,3.045054642
Peru,2.86593378
Malaysia,3.851098517
Singapore,3.134615072
Chile,2.86593378
Indonesia,4.20934024
El Salvador,2.059889905
Bolivia,1.34340646
Panama,2.239010766
Costa Rica,2.149450335
Mexico,1.701648182
Honduras,2.149450335
Paraguay,2.328571197
Dominican Republic,2.955494211
Ecuador,1.701648182
France,3.313735934
Colombia,2.328571197
Puerto Rico,1.701648182
Venezuela,2.149450335
Brazil,3.671977656
Spain,2.149450335
Guatemala,1.43296689
Argentina,1.522527321
Uruguay,1.522527321
Portugal,2.86593378
Vietnam,4.20934024
Thailand,4.119779809
Italy,1.880769043
Canada,1.074725168
Belgium,2.597252488
United Arab Emirates,2.597252488
South Korea,3.313735934
New Zealand,1.43296689
Saudi Arabia,3.851098517
Australia,1.074725168
United States,0.268681292
Hungary,2.77637335
Poland,3.134615072
Romania,2.686812919
Bangladesh,0.626923014
Switzerland,2.239010766
Finland,1.970329474
Sweden,2.059889905
Serbia,1.970329474
Germany,2.418131627
Austria,2.149450335
Norway,1.970329474
Greece,1.43296689
Pakistan,1.880769043
Turkey,3.761538087
Bulgaria,1.970329474
Denmark,1.791208613
Croatia,1.253846029
Czechia,1.074725168
United Kingdom,0.895604306
Hong Kong,1.701648182
India,0.358241723
Ireland,0.447802153
Netherlands,1.701648182
Egypt,1.880769043
Israel,1.34340646
South Africa,-0.268681292
Japan,3.761538087
Russia,1.522527321
Ukraine,1.612087751
