date,Aquaman,Barbara Gordon,Barry Allen (The Flash),Batman,Beast,Black Canary,Black Lightning,Black Panther,Black Widow,Blade,Blue Beetle,Booster Gold,Bucky Barnes,Captain America,Captain Britain,Captain Marvel,Catwoman,Cerebus,Cyclops,Daredevil,Dashiell Bad Horse,Deadpool,Dick Grayson (Robin),Donna Troy,Dr. Strange,Dream of the Endless,Elijah Snow,Fone Bone,Gambit,Ghost Rider,Green Arrow,Groo,Hal Jordan (Green Lantern),Hank Pym (Ant-Man),Hawkeye,Hawkman,Hellboy,Human Torch,Invisible Woman,Iron Fist,Iron Man,James Gordon,Jean Grey,Jesse Custer,John Constantine,John Stewart (Green Lantern),Jonah Hex,Judge Dredd,Ka-Zar,Kitty Pryde,Luke Cage,Martian Manhunter,Marv,Michonne,Mitchell Hundred,Moon Knight,Nick Fury,Nightcrawler,Nova,Professor X,Punisher,Raphael,Reed Richards,Renee Montoya,Rick Grimes,Rorschach,Savage Dragon,Scott Pilgrim,Sgt. Rock,She-Hulk,Silver Surfer,Spawn,Spider-Man,Spider Jerusalem,Storm,Sub-Mariner,Superboy,Supergirl,Superman,Swamp Thing,The Atom,The Crow,The Falcon,The Hulk,The Rocketeer,The Spectre,The Spirit,The Thing,The Tick,Thor,Tim Drake (Robin),Usagi Yojimbo,Wally West (The Flash),Wasp,Wildcat,Wolverine,Wonder Woman,Yorick Brown
2016-05-15,1,20,54,77,12,76,3,3,28,29,38,65,70,100,12,2,49,59,61,27,0,25,21,1,6,0,69,0,4,57,72,72,26,23,36,43,4,98,21,1,31,40,50,39,31,0,63,26,39,39,1,5,40,25,0,21,10,64,72,41,7,57,28,4,4,65,9,25,51,16,49,49,22,42,35,38,47,34,91,2,24,77,4,45,28,34,91,61,15,12,44,21,100,8,31,35,3,56
2016-05-22,1,18,100,72,24,59,2,2,27,29,37,22,53,78,30,2,52,33,71,26,100,20,15,2,5,14,0,21,4,49,74,58,43,23,31,41,4,100,18,1,26,40,100,100,26,4,32,46,39,41,1,5,41,25,0,14,11,83,68,52,6,59,16,4,5,65,9,25,25,24,47,48,22,28,38,38,39,29,82,2,20,75,4,39,20,23,74,57,17,13,7,16,89,9,30,39,3,0
2016-05-29,1,23,69,72,14,53,2,1,25,27,34,25,47,57,28,2,44,47,75,26,0,19,15,2,3,0,35,0,4,52,70,31,26,0,31,34,4,51,17,1,26,44,84,56,31,8,42,29,0,61,1,4,58,17,0,11,9,100,70,62,6,58,16,4,5,70,7,22,0,21,46,51,22,29,38,76,49,27,83,5,18,72,3,37,21,15,73,57,17,10,52,21,46,9,32,40,3,0
2016-06-05,1,26,42,70,15,44,2,1,23,27,37,21,30,37,32,1,42,33,58,24,0,17,9,2,3,0,70,42,4,62,64,58,44,0,32,46,5,43,26,1,23,44,67,67,28,4,30,33,0,30,1,7,29,22,0,9,8,81,71,45,6,53,16,0,4,64,7,29,51,24,44,49,23,28,50,0,51,30,75,5,18,73,3,42,25,25,76,60,15,10,22,5,23,11,26,30,3,0
2016-06-12,1,26,20,69,13,47,2,1,20,27,40,10,29,30,40,1,43,73,53,19,0,17,27,2,3,14,0,63,3,49,49,21,44,0,28,29,4,46,20,1,20,68,45,84,20,4,55,26,0,30,1,5,27,20,0,7,8,67,67,32,5,61,11,4,4,79,15,27,0,18,39,50,26,71,33,0,40,29,72,3,16,62,3,35,20,20,73,57,15,9,52,21,34,10,29,27,3,0
2016-06-19,1,16,45,68,12,36,2,1,22,29,28,19,26,26,12,1,46,47,43,19,0,15,24,2,3,0,0,21,3,53,58,77,35,0,25,37,3,49,21,1,18,53,32,51,28,8,28,29,0,25,1,5,25,16,0,10,6,46,67,31,5,53,11,2,5,58,9,23,0,19,43,53,26,29,35,0,37,27,73,3,15,65,3,33,12,20,76,57,14,10,76,5,18,13,30,23,3,0
2016-06-26,1,18,25,85,13,38,2,1,20,28,35,19,25,24,21,1,51,47,43,21,0,14,18,0,3,15,36,21,3,56,41,49,27,24,27,15,3,47,18,1,18,44,24,97,29,17,19,32,20,25,1,5,29,25,0,9,4,48,67,16,5,52,8,2,4,53,24,25,26,11,32,55,22,29,32,39,38,22,100,2,12,49,3,35,25,25,73,55,12,9,46,48,35,12,32,21,4,0
2016-07-03,1,26,58,84,14,45,2,1,20,27,41,17,26,26,23,1,47,36,45,21,0,14,26,3,2,47,0,45,3,49,50,41,38,0,27,31,5,37,27,1,21,44,25,66,25,9,28,35,0,26,1,5,27,21,0,7,6,49,71,20,5,54,12,0,4,65,14,21,0,11,30,51,22,15,35,41,61,24,100,2,11,59,4,38,15,27,69,53,14,10,64,34,22,12,31,21,4,0
2016-07-10,1,13,34,75,13,36,2,1,22,26,42,21,14,20,22,1,43,35,35,18,0,11,19,3,2,15,0,45,3,51,50,36,28,0,33,31,4,29,23,1,18,36,21,59,12,9,20,29,0,20,1,5,28,18,0,7,4,42,69,24,5,69,22,2,4,58,12,17,0,14,33,58,23,45,32,20,61,23,80,2,12,60,3,35,24,27,72,55,11,9,24,22,61,14,27,20,4,0
2016-07-17,1,47,44,87,13,42,2,1,18,26,77,22,18,19,11,1,45,85,37,22,0,10,16,1,2,0,0,45,2,62,48,51,37,25,30,23,3,22,17,4,16,38,23,24,26,4,24,56,0,12,4,5,30,21,0,6,5,38,68,18,5,54,9,7,5,50,14,24,27,20,41,73,19,45,34,0,52,27,90,2,12,56,3,30,20,24,72,55,17,10,87,22,31,16,28,19,6,0
2016-07-24,3,100,62,100,13,46,2,1,19,26,55,23,16,19,7,4,48,56,31,19,0,10,9,1,8,0,0,45,2,55,54,69,83,0,29,46,4,36,34,2,18,57,20,53,31,27,32,40,0,24,3,7,34,27,0,8,5,51,69,23,5,53,16,7,5,48,8,22,54,6,33,86,25,15,34,0,35,35,89,3,11,56,3,32,100,28,75,56,13,10,71,44,21,16,30,20,13,0
2016-07-31,2,55,47,91,12,43,2,1,20,26,40,23,14,19,13,1,58,21,32,20,0,9,16,2,3,15,37,23,2,59,53,77,19,0,31,47,3,27,20,1,16,43,18,30,25,9,38,37,0,29,1,6,33,20,0,7,5,35,69,24,4,51,8,2,4,51,12,17,0,22,34,71,21,0,34,0,42,34,83,4,10,52,4,32,55,27,68,53,16,9,48,11,43,15,31,18,6,0
