,Unnamed: 0,name,ID,ALIGN,EYE,HAIR,SEX,ALIVE
0,0,Spider-Man (Peter Parker),Secret Identity,0,Hazel Eyes,Brown Hair,Male Characters,Living Characters
1,1,Captain America (Steven Rogers),Public Identity,0,Blue Eyes,White Hair,Male Characters,Living Characters
2,2,"Wolverine (James \""Logan\"" Howlett)",Public Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
3,3,"Iron Man (Anthony \""Tony\"" Stark)",Public Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
4,4,Thor (Thor Odinson),No Dual Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
5,5,Benjamin Grimm (Earth-616),Public Identity,0,Blue Eyes,No Hair,Male Characters,Living Characters
6,6,Reed Richards (Earth-616),Public Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
7,7,Hulk (Robert Bruce Banner),Public Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
8,8,Scott Summers (Earth-616),Public Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
9,9,Jonathan Storm (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
10,10,Henry McCoy (Earth-616),Public Identity,0,Blue Eyes,Blue Hair,Male Characters,Living Characters
11,11,Susan Storm (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
12,12,Namor McKenzie (Earth-616),No Dual Identity,0,Green Eyes,Black Hair,Male Characters,Living Characters
13,13,Ororo Munroe (Earth-616),Public Identity,0,Blue Eyes,White Hair,Female Characters,Living Characters
14,14,Clinton Barton (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
15,15,Matthew Murdock (Earth-616),Public Identity,0,Blue Eyes,Red Hair,Male Characters,Living Characters
16,16,Stephen Strange (Earth-616),Public Identity,0,Grey Eyes,Black Hair,Male Characters,Living Characters
17,17,Mary Jane Watson (Earth-616),No Dual Identity,0,Green Eyes,Red Hair,Female Characters,Living Characters
18,18,John Jonah Jameson (Earth-616),No Dual Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
19,19,Robert Drake (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
20,20,Henry Pym (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
21,21,Charles Xavier (Earth-616),Public Identity,0,Blue Eyes,Bald,Male Characters,Deceased Characters
22,22,Warren Worthington III (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
23,23,Piotr Rasputin (Earth-616),Secret Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
24,24,Wanda Maximoff (Earth-616),Public Identity,0,Green Eyes,Brown Hair,Female Characters,Living Characters
25,25,Nicholas Fury (Earth-616),No Dual Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
26,26,Janet van Dyne (Earth-616),Public Identity,0,Blue Eyes,Auburn Hair,Female Characters,Living Characters
27,27,Jean Grey (Earth-616),Public Identity,0,Green Eyes,Red Hair,Female Characters,Deceased Characters
28,28,Natalia Romanova (Earth-616),Public Identity,0,Green Eyes,Red Hair,Female Characters,Living Characters
29,29,Kurt Wagner (Earth-616),Secret Identity,0,Yellow Eyes,Blue Hair,Male Characters,Living Characters
30,30,Vision (Earth-616),Secret Identity,0,Gold Eyes,No Hair,Male Characters,Living Characters
31,31,May Reilly (Earth-616),No Dual Identity,0,Blue Eyes,Grey Hair,Female Characters,Living Characters
32,32,Katherine Pryde (Earth-616),Secret Identity,0,Hazel Eyes,Brown Hair,Female Characters,Living Characters
33,33,Carol Danvers (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
34,34,Jennifer Walters (Earth-616),Public Identity,0,Green Eyes,Brown Hair,Female Characters,Living Characters
35,35,Emma Frost (Earth-616),Public Identity,0,Blue Eyes,Brown Hair,Female Characters,Living Characters
36,36,Frank Castle (Earth-616),Public Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
37,37,Luke Cage (Earth-616),No Dual Identity,0,Brown Eyes,Black Hair,Male Characters,Living Characters
38,38,Rogue (Anna Marie) (Earth-616),Secret Identity,0,Green Eyes,Auburn Hair,Female Characters,Living Characters
39,39,Conan (Earth-616),No Dual Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
40,40,Joseph Robertson (Earth-616),No Dual Identity,0,Brown Eyes,White Hair,Male Characters,Living Characters
41,41,Pietro Maximoff (Earth-616),Public Identity,0,Blue Eyes,Silver Hair,Male Characters,Living Characters
42,42,Hercules (Earth-616),No Dual Identity,0,Blue Eyes,Brown Hair,Male Characters,Living Characters
43,43,Victor von Doom (Earth-616),Public Identity,1,Brown Eyes,Brown Hair,Male Characters,Living Characters
44,44,Max Eisenhardt (Earth-616),Public Identity,0,Grey Eyes,Bald,Male Characters,Living Characters
45,45,Elizabeth Braddock (Earth-616),Secret Identity,0,Blue Eyes,Purple Hair,Female Characters,Living Characters
46,46,Norrin Radd (Earth-616),Public Identity,0,Blue Eyes,Bald,Male Characters,Living Characters
47,47,Norman Osborn (Earth-616),Public Identity,1,Blue Eyes,Auburn Hair,Male Characters,Living Characters
48,48,Eugene Thompson (Earth-616),Secret Identity,0,Blue Eyes,Strawberry Blond Hair,Male Characters,Living Characters
49,49,Simon Williams (Earth-616),Public Identity,0,Red Eyes,Grey Hair,Male Characters,Living Characters
50,50,Samuel Guthrie (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
51,51,James Buchanan Barnes (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
52,52,Remy LeBeau (Earth-616),Secret Identity,0,Black Eyeballs,Brown Hair,Male Characters,Living Characters
53,53,Daniel Rand (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
54,54,Nathan Summers (Earth-616),Public Identity,0,Blue Eyes,White Hair,Male Characters,Living Characters
55,55,Elizabeth Brant (Earth-616),No Dual Identity,0,Brown Eyes,Brown Hair,Female Characters,Living Characters
56,56,Richard Jones (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
57,57,Edwin Jarvis (Earth-616),No Dual Identity,0,Blue Eyes,White Hair,Male Characters,Living Characters
58,58,Alexander Summers (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
59,59,Patricia Walker (Earth-616),Secret Identity,0,Blue Eyes,Red Hair,Female Characters,Living Characters
60,60,Human Torch (Android) (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
61,61,Loki Laufeyson (Earth-616),No Dual Identity,0,Green Eyes,Black Hair,Genderfluid Characters,Living Characters
62,62,Franklin Nelson (Earth-616),No Dual Identity,0,Blue Eyes,Bald,Male Characters,Living Characters
63,63,Brian Braddock (Earth-616),Public Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
64,64,Otto Octavius (Earth-616),Secret Identity,0,Hazel Eyes,Brown Hair,Male Characters,Deceased Characters
65,65,James Rhodes (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
66,66,Timothy Dugan (Earth-616),Public Identity,0,Blue Eyes,Red Hair,Male Characters,Deceased Characters
67,67,Crystalia Amaquelin (Earth-616),Public Identity,0,Green Eyes,Strawberry Blond Hair,Female Characters,Living Characters
68,68,Samuel Wilson (Earth-616),Public Identity,0,Brown Eyes,Black Hair,Male Characters,Living Characters
69,69,Wilson Fisk (Earth-616),Public Identity,1,Blue Eyes,Bald,Male Characters,Living Characters
70,70,Odin Borson (Earth-616),Public Identity,0,Blue Eyes,White Hair,Male Characters,Living Characters
71,71,Deadpool (Wade Wilson),Secret Identity,0,Brown Eyes,Bald,Male Characters,Living Characters
72,72,Dane Whitman (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
73,73,Harold Osborn (Earth-616),No Dual Identity,0,Blue Eyes,Brown Hair,Male Characters,Living Characters
74,74,Franklin Richards (Earth-616),No Dual Identity,0,Blue Eyes,Blond Hair,Male Characters,Living Characters
75,75,Jessica Drew (Earth-616),Secret Identity,0,Green Eyes,Auburn Hair,Female Characters,Living Characters
76,76,Roberto da Costa (Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Male Characters,Living Characters
77,77,Rahne Sinclair (Earth-616),Secret Identity,0,Green Eyes,Red Hair,Female Characters,Living Characters
78,78,Elizabeth Ross (Earth-616),Public Identity,0,Blue Eyes,Black Hair,Female Characters,Living Characters
79,79,Lorna Dane (Earth-616),Secret Identity,0,Green Eyes,Green Hair,Female Characters,Living Characters
81,81,Johnathon Blaze (Earth-616),Secret Identity,0,Blue Eyes,Reddish Blond Hair,Male Characters,Living Characters
82,82,Sif (Earth-616),No Dual Identity,0,Blue Eyes,Black Hair,Female Characters,Living Characters
83,83,Red Hulk (Thaddeus Ross),Public Identity,0,Blue Eyes,Black Hair,Male Characters,Living Characters
84,84,Jubilation Lee (Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Female Characters,Living Characters
85,85,Volstagg (Earth-616),Public Identity,0,Blue Eyes,Red Hair,Male Characters,Living Characters
86,86,Balder Odinson (Earth-616),Secret Identity,0,Blue Eyes,Brown Hair,Male Characters,Deceased Characters
87,87,Galactus (Earth-616),Secret Identity,0,Brown Eyes,No Hair,Male Characters,Living Characters
88,88,Danielle Moonstar (Earth-616),Secret Identity,0,Brown Eyes,Black Hair,Female Characters,Living Characters
89,89,Marc Spector (Earth-616),Secret Identity,0,Brown Eyes,Brown Hair,Male Characters,Living Characters
90,90,Gwendolyne Stacy (Earth-616),No Dual Identity,0,Blue Eyes,Blond Hair,Female Characters,Deceased Characters
91,91,Medusalith Amaquelin (Earth-616),Public Identity,0,Green Eyes,Red Hair,Female Characters,Living Characters
92,92,Sabretooth (Victor Creed),Secret Identity,1,Amber Eyes,Blond Hair,Male Characters,Living Characters
93,93,Illyana Rasputina (Earth-616),Secret Identity,0,Blue Eyes,Blond Hair,Female Characters,Living Characters
